[Topic] k=30,  change alpha=0.9, L=3 	[Accuracy] train: 0.581873353945 	test: 0.539037675897
[Topic] k=30,  change alpha=0.9, L=3 (cond) 	[Accuracy] train: 0.589144623841 	test: 0.541988197912
[Topic] k=30,  change alpha=0.9, L=5 	[Accuracy] train: 0.582903927631 	test: 0.54232864276
[Topic] k=30,  change alpha=0.9, L=5 (cond) 	[Accuracy] train: 0.589430894309 	test: 0.543236495688
[Topic] k=30,  change alpha=0.9, L=10 	[Accuracy] train: 0.576147944578 	test: 0.542215161144
[Topic] k=30,  change alpha=0.9, L=10 (cond) 	[Accuracy] train: 0.591148517119 	test: 0.541534271448
[Topic] k=30,  change alpha=0.9, L=20 	[Accuracy] train: 0.579468682011 	test: 0.545279164775
[Topic] k=30,  change alpha=0.9, L=20 (cond) 	[Accuracy] train: 0.595328065957 	test: 0.537789378121
[Topic] k=30,  change alpha=0.8, L=1 	[Accuracy] train: 0.582388640788 	test: 0.54232864276
[Topic] k=30,  change alpha=0.8, L=1 (cond) 	[Accuracy] train: 0.584335279973 	test: 0.545619609623
[Topic] k=30,  change alpha=0.8, L=3 	[Accuracy] train: 0.582674911256 	test: 0.54005901044
[Topic] k=30,  change alpha=0.8, L=3 (cond) 	[Accuracy] train: 0.589659910684 	test: 0.541874716296
[Topic] k=30,  change alpha=0.8, L=5 	[Accuracy] train: 0.583075689912 	test: 0.541080344984
[Topic] k=30,  change alpha=0.8, L=5 (cond) 	[Accuracy] train: 0.587369746937 	test: 0.542782569224
[Topic] k=30,  change alpha=0.8, L=10 	[Accuracy] train: 0.582961181724 	test: 0.537789378121
[Topic] k=30,  change alpha=0.8, L=10 (cond) 	[Accuracy] train: 0.59023245162 	test: 0.541307308216
[Topic] k=30,  change alpha=0.8, L=20 	[Accuracy] train: 0.583190198099 	test: 0.537448933273
[Topic] k=30,  change alpha=0.8, L=20 (cond) 	[Accuracy] train: 0.594297492271 	test: 0.542101679528
